chr1	9999	1
chr1	10000	6
chr1	10001	10
chr1	10002	14
chr1	10003	22
chr1	10004	36
chr1	10005	42
chr1	10006	46
chr1	10007	54
chr1	10008	61
chr1	10009	66
chr1	10010	70
chr1	10011	72
chr1	10012	74
chr1	10013	76
chr1	10014	78
chr1	10015	79
chr1	10016	83
chr1	10017	85
chr1	10018	87
chr1	10019	88
chr1	10020	89
chr1	10021	91
chr1	10022	92
chr1	10023	94
chr1	10024	95
chr1	10025	95
chr1	10026	97
chr1	10027	98
chr1	10028	99
chr1	10029	99
chr1	10030	101
chr1	10031	101
chr1	10032	101
chr1	10033	102
chr1	10034	103
chr1	10035	105
chr1	10036	106
chr1	10037	107
chr1	10038	108
chr1	10039	110
chr1	10040	112
chr1	10041	112
chr1	10042	113
chr1	10043	114
chr1	10044	115
chr1	10045	115
chr1	10046	115
chr1	10047	115
chr1	10048	117
chr1	10049	119
chr1	10050	120
chr1	10051	123
chr1	10052	123
chr1	10053	124
chr1	10054	124
chr1	10055	124
chr1	10056	124
chr1	10057	125
chr1	10058	126
chr1	10059	125
chr1	10060	126
chr1	10061	127
chr1	10062	127
chr1	10063	127
chr1	10064	129
chr1	10065	129
chr1	10066	129
chr1	10067	130
chr1	10068	130
chr1	10069	131
chr1	10070	133
chr1	10071	133
chr1	10072	132
chr1	10073	132
chr1	10074	134
chr1	10075	135
chr1	10076	135
chr1	10077	135
chr1	10078	137
chr1	10079	137
chr1	10080	137
chr1	10081	137
chr1	10082	137
chr1	10083	136
chr1	10084	136
chr1	10085	137
chr1	10086	137
chr1	10087	137
chr1	10088	136
chr1	10089	137
chr1	10090	137
chr1	10091	137
chr1	10092	137
chr1	10093	136
chr1	10094	135
chr1	10095	135
chr1	10096	135
chr1	10097	136
chr1	10098	134
chr1	10099	132
chr1	10100	131
chr1	10101	126
chr1	10102	123
chr1	10103	112
chr1	10104	97
chr1	10105	84
chr1	10106	76
chr1	10107	67
chr1	10108	53
chr1	10109	52
chr1	10110	49
chr1	10111	49
chr1	10112	47
chr1	10113	45
chr1	10114	43
chr1	10115	44
chr1	10116	45
chr1	10117	46
chr1	10118	45
chr1	10119	45
chr1	10120	45
chr1	10121	43
chr1	10122	43
chr1	10123	42
chr1	10124	42
chr1	10125	41
chr1	10126	41
chr1	10127	41
chr1	10128	40
chr1	10129	40
chr1	10130	40
chr1	10131	39
chr1	10132	38
chr1	10133	38
chr1	10134	38
chr1	10135	37
